Total network energy = 2.60e+09 pJ
Total network latency = 6.42e+06 cycles
         233503864 function calls (233190351 primitive calls) in 125.067 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    54813    0.158    0.000    0.212    0.000 MemoryHierarchy.py:145(get_operand_top_level)
      341    0.001    0.000    0.211    0.001 axis.py:1611(_copy_tick_props)
       93    0.001    0.000    0.211    0.002 _base.py:2406(add_patch)
   255794    0.148    0.000    0.211    0.000 data_movement.py:145(set_data_precision)
6777/1340    0.027    0.000    0.210    0.000 copy.py:227(_deepcopy_dict)
   619800    0.152    0.000    0.209    0.000 utils.py:375(<genexpr>)
   663873    0.203    0.000    0.206    0.000 {built-in method builtins.max}
  1708/15    0.008    0.000    0.205    0.014 validator.py:1080(__validate_definitions)
  3943/44    0.004    0.000    0.205    0.005 validator.py:1083(validate_rule)
   330/17    0.001    0.000    0.205    0.012 validator.py:1479(_validate_schema)
   205/50    0.001    0.000    0.203    0.004 validator.py:1493(__validate_schema_mapping)
      372    0.001    0.000    0.203    0.001 text.py:73(_get_text_metrics_with_cache_impl)
      372    0.003    0.000    0.203    0.001 backend_agg.py:207(get_text_width_height_descent)
   255794    0.136    0.000    0.198    0.000 data_movement.py:154(set_req_mem_bw_aver)
     1395    0.004    0.000    0.197    0.000 text.py:104(__init__)
   109626    0.160    0.000    0.197    0.000 Mapping.py:325(<listcomp>)
  1844221    0.196    0.000    0.196    0.000 MemoryAllocator.py:226(<lambda>)
   243328    0.196    0.000    0.196    0.000 port_activity.py:8(__init__)
      744    0.002    0.000    0.196    0.000 axis.py:1528(get_majorticklocs)
   255794    0.132    0.000    0.194    0.000 data_movement.py:172(set_data_trans_period)
       93    0.004    0.000    0.192    0.002 _base.py:2419(_update_patch_limits)
   255794    0.130    0.000    0.192    0.000 data_movement.py:182(set_data_trans_period_count)
   255794    0.130    0.000    0.191    0.000 data_movement.py:192(set_data_trans_amount_per_period)
     1023    0.004    0.000    0.191    0.000 lines.py:1337(update_from)
       62    0.000    0.000    0.191    0.003 _base.py:3235(grid)
   255794    0.129    0.000    0.190    0.000 data_movement.py:202(set_inst_data_trans_window)
      124    0.001    0.000    0.190    0.002 axis.py:1693(grid)
      114    0.005    0.000    0.190    0.002 artist.py:1598(pprint_setters)
   255794    0.128    0.000    0.189    0.000 data_movement.py:163(set_req_mem_bw_inst)
        1    0.000    0.000    0.188    0.188 WorkloadParserStage.py:43(_parse_workload_data)
    73875    0.129    0.000    0.182    0.000 <class 'networkx.utils.decorators.argmap'> compilation 4:1(argmap_topological_sort_1)
     1134    0.004    0.000    0.181    0.000 std.py:457(print_status)
   164439    0.138    0.000    0.177    0.000 memory_level.py:30(<listcomp>)
        1    0.000    0.000    0.174    0.174 __config__.py:1(<module>)
       13    0.000    0.000    0.174    0.013 schema.py:252(validate)
